,Season,Venue,City,innings,batter,Match_Played,Balls_Faced,Runs,4s,6s,Out,Not_Out,Strike_Rate,Avg,Explosivity_Rating,Running_Rating,Finisher_Rating
2803,2011,"Wankhede Stadium, Mumbai",Mumbai,1,RN ten Doeschate,1,51,70,6,3,0.0,1.0,71.0,70.0,10.0,62.0,2.0
5610,2015,Rajiv Gandhi International Stadium,Hyderabad,1,S Dhawan,4,62,70,9,0,4.0,0.0,71.0,85.5,10.0,62.0,1.0
2387,2011,M Chinnaswamy Stadium,Bangalore,1,MS Dhoni,1,40,70,3,6,0.0,1.0,71.0,70.0,10.0,62.0,2.0
1495,2010,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2,AC Gilchrist,3,61,69,4,4,3.0,0.0,70.0,89.33333333333333,9.0,62.0,1.0
5603,2015,Rajiv Gandhi International Stadium,Hyderabad,1,EJG Morgan,4,56,69,3,5,3.0,1.0,70.0,87.66666666666667,9.0,62.0,2.0
9437,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,1,KL Rahul,1,50,68,6,1,1.0,0.0,69.0,118.0,8.0,62.0,1.0
6605,2017,Green Park,Kanpur,1,AJ Finch,2,43,71,6,4,2.0,0.0,72.0,92.5,11.0,62.0,1.0
9535,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2,Shahbaz Ahmed,2,51,68,4,3,2.0,0.0,69.0,93.5,8.0,62.0,1.0
5564,2015,"Punjab Cricket Association Stadium, Mohali",Chandigarh,1,LMP Simmons,1,56,71,9,1,1.0,0.0,72.0,127.0,11.0,62.0,1.0
8604,2021,"Arun Jaitley Stadium, Delhi",Delhi,1,AT Rayudu,1,28,72,4,7,0.0,1.0,73.0,72.0,12.0,62.0,2.0
1915,2010,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2,DPMD Jayawardene,3,55,70,8,1,3.0,0.0,71.0,88.33333333333333,10.0,62.0,1.0
1818,2010,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,ML Hayden,3,59,70,7,2,3.0,0.0,71.0,89.66666666666667,10.0,62.0,1.0
8113,2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,SA Yadav,1,54,71,10,0,0.0,1.0,72.0,71.0,11.0,62.0,2.0
1753,2010,M Chinnaswamy Stadium,Bangalore,1,RV Uthappa,2,43,70,3,6,1.0,1.0,71.0,113.0,10.0,62.0,2.0
3407,2012,Sawai Mansingh Stadium,Jaipur,1,AL Menaria,5,65,69,6,2,4.0,1.0,70.0,85.25,9.0,62.0,2.0
8117,2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,SN Khan,1,60,67,4,2,1.0,0.0,68.0,127.0,7.0,62.0,1.0
8414,2019,"Wankhede Stadium, Mumbai",Mumbai,2,MK Pandey,1,47,71,8,2,0.0,1.0,72.0,71.0,11.0,62.0,2.0
871,2009,Kingsmead,Durban,2,HH Gibbs,1,57,69,6,2,0.0,1.0,70.0,69.0,9.0,62.0,2.0
8115,2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,SK Raina,4,64,73,10,2,4.0,0.0,74.0,89.0,13.0,62.0,1.0
8367,2019,"Wankhede Stadium, Mumbai",Mumbai,1,HH Pandya,3,32,71,3,7,1.0,2.0,72.0,103.0,11.0,62.0,3.0
328,2008,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,ML Hayden,1,50,70,6,3,0.0,1.0,71.0,70.0,10.0,62.0,2.0
7968,2019,M Chinnaswamy Stadium,Bengaluru,1,KS Williamson,1,44,70,5,4,0.0,1.0,71.0,70.0,10.0,62.0,2.0
7992,2019,M Chinnaswamy Stadium,Bengaluru,2,AB de Villiers,2,44,71,4,6,1.0,1.0,72.0,115.0,11.0,62.0,2.0
3666,2012,"Wankhede Stadium, Mumbai",Mumbai,2,SE Marsh,1,43,68,5,3,0.0,1.0,69.0,68.0,9.0,61.0,2.0
