,Season,Venue,City,innings,batter,Match_Played,Balls_Faced,Runs,4s,6s,Out,Not_Out,Strike_Rate,Avg,Explosivity_Rating,Running_Rating,Finisher_Rating
6075,2016,M Chinnaswamy Stadium,Bangalore,1,V Kohli,6,257,435,36,23,6.0,0.0,436.0,477.8333333333333,60.0,377.0,1.0
3916,2013,M Chinnaswamy Stadium,Bangalore,1,CH Gayle,4,200,372,28,32,2.0,2.0,373.0,472.0,61.0,313.0,3.0
7137,2018,"Arun Jaitley Stadium, Delhi",Delhi,1,RR Pant,6,205,360,34,22,5.0,1.0,361.0,401.0,57.0,305.0,2.0
5416,2015,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,BB McCullum,7,211,313,33,18,6.0,1.0,314.0,348.1666666666667,52.0,263.0,2.0
2444,2011,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,MEK Hussey,6,233,290,28,5,5.0,1.0,291.0,336.6,34.0,258.0,2.0
4480,2013,"Wankhede Stadium, Mumbai",Mumbai,1,RG Sharma,7,182,294,20,18,3.0,4.0,295.0,354.6666666666667,39.0,257.0,5.0
6039,2016,M Chinnaswamy Stadium,Bangalore,1,AB de Villiers,6,165,294,27,20,5.0,1.0,295.0,327.0,48.0,248.0,2.0
138,2008,Feroz Shah Kotla,Delhi,1,G Gambhir,4,188,285,36,5,4.0,0.0,286.0,332.0,42.0,245.0,1.0
4476,2013,"Wankhede Stadium, Mumbai",Mumbai,1,KD Karthik,7,197,273,31,8,6.0,1.0,274.0,305.8333333333333,40.0,235.0,2.0
4356,2013,Sawai Mansingh Stadium,Jaipur,2,SR Watson,6,159,274,33,12,4.0,2.0,275.0,313.75,46.0,230.0,3.0
8249,2019,Rajiv Gandhi International Stadium,Hyderabad,2,DA Warner,5,164,252,27,8,5.0,0.0,253.0,284.8,36.0,218.0,1.0
8253,2019,Rajiv Gandhi International Stadium,Hyderabad,2,JM Bairstow,5,161,243,24,9,3.0,2.0,244.0,296.6666666666667,34.0,211.0,3.0
3408,2012,Sawai Mansingh Stadium,Jaipur,1,AM Rahane,6,198,231,34,1,6.0,0.0,232.0,264.0,36.0,197.0,1.0
2935,2012,"Eden Gardens, Kolkata",Kolkata,1,G Gambhir,4,153,227,21,10,4.0,0.0,228.0,265.25,32.0,197.0,1.0
9902,2022,"Wankhede Stadium, Mumbai",Mumbai,1,JC Buttler,4,153,221,13,16,3.0,1.0,222.0,272.0,30.0,193.0,2.0
7698,2018,"Wankhede Stadium, Mumbai",Mumbai,1,E Lewis,6,159,225,19,16,6.0,0.0,226.0,251.5,36.0,191.0,1.0
2442,2011,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,M Vijay,7,166,215,15,11,7.0,0.0,216.0,238.71428571428572,27.0,190.0,1.0
3230,2012,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,SK Raina,6,144,212,14,10,6.0,0.0,213.0,236.0,25.0,189.0,1.0
8722,2021,Dubai International Cricket Stadium,Dubai,2,KL Rahul,3,139,214,15,12,2.0,1.0,215.0,283.5,28.0,188.0,2.0
8174,2019,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2,KL Rahul,3,147,213,20,7,1.0,2.0,214.0,360.0,28.0,187.0,3.0
2802,2011,"Wankhede Stadium, Mumbai",Mumbai,1,RG Sharma,4,143,212,18,9,4.0,0.0,213.0,247.75,28.0,186.0,1.0
6897,2017,Rajiv Gandhi International Stadium,Hyderabad,1,DA Warner,4,133,214,19,11,3.0,1.0,215.0,258.3333333333333,31.0,185.0,2.0
7713,2018,"Wankhede Stadium, Mumbai",Mumbai,1,SA Yadav,6,149,220,30,6,6.0,0.0,221.0,244.83333333333334,37.0,185.0,1.0
5421,2015,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,MS Dhoni,7,148,208,12,13,4.0,3.0,209.0,245.0,26.0,184.0,4.0
4654,2014,Feroz Shah Kotla,Delhi,1,KD Karthik,5,151,207,16,9,5.0,0.0,208.0,237.2,26.0,183.0,1.0
8818,2021,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,JM Bairstow,5,152,211,15,14,4.0,1.0,212.0,249.0,30.0,183.0,2.0
8791,2021,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,RG Sharma,5,155,201,14,9,5.0,0.0,202.0,232.0,24.0,179.0,1.0
7138,2018,"Arun Jaitley Stadium, Delhi",Delhi,1,SS Iyer,6,154,203,12,13,5.0,1.0,204.0,233.8,26.0,179.0,2.0
2809,2011,"Wankhede Stadium, Mumbai",Mumbai,1,SR Tendulkar,5,176,201,22,4,4.0,1.0,202.0,245.0,27.0,176.0,2.0
2445,2011,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,MS Dhoni,7,130,192,11,10,6.0,1.0,193.0,213.66666666666666,22.0,172.0,2.0
5717,2015,"Wankhede Stadium, Mumbai",Mumbai,1,KA Pollard,6,134,195,11,13,4.0,2.0,196.0,228.5,25.0,172.0,3.0
4350,2013,Sawai Mansingh Stadium,Jaipur,2,R Dravid,6,185,200,28,2,6.0,0.0,201.0,230.83333333333334,31.0,171.0,1.0
8498,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,1,RG Sharma,4,143,197,15,12,4.0,0.0,198.0,232.75,28.0,171.0,1.0
5867,2016,"Eden Gardens, Kolkata",Kolkata,1,G Gambhir,5,156,190,18,2,5.0,0.0,191.0,221.2,21.0,171.0,1.0
5601,2015,Rajiv Gandhi International Stadium,Hyderabad,1,DA Warner,4,119,200,23,7,3.0,1.0,201.0,239.66666666666666,31.0,171.0,2.0
7959,2019,M Chinnaswamy Stadium,Bengaluru,1,AB de Villiers,5,121,197,14,13,4.0,1.0,198.0,227.25,28.0,171.0,2.0
8057,2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,MS Dhoni,4,125,193,12,11,0.0,4.0,194.0,193.0,24.0,171.0,5.0
7457,2018,Maharashtra Cricket Association Stadium,Pune,1,SR Watson,3,110,196,14,13,3.0,0.0,197.0,232.66666666666666,28.0,170.0,1.0
452,2008,Rajiv Gandhi International Stadium,Hyderabad,1,RG Sharma,4,126,195,21,7,3.0,1.0,196.0,237.0,29.0,168.0,2.0
9265,2022,"Brabourne Stadium, Mumbai",Mumbai,1,LS Livingstone,4,111,196,17,13,4.0,0.0,197.0,223.75,31.0,167.0,1.0
7114,2017,"Wankhede Stadium, Mumbai",Mumbai,2,N Rana,6,159,190,18,7,6.0,0.0,191.0,216.5,26.0,166.0,1.0
7895,2019,"Eden Gardens, Kolkata",Kolkata,1,AD Russell,5,101,197,13,19,4.0,1.0,198.0,222.25,33.0,166.0,2.0
3997,2013,M Chinnaswamy Stadium,Bangalore,2,V Kohli,4,135,194,22,7,3.0,1.0,195.0,239.0,30.0,166.0,2.0
7115,2017,"Wankhede Stadium, Mumbai",Mumbai,2,PA Patel,7,150,192,24,4,7.0,0.0,193.0,213.42857142857142,29.0,165.0,1.0
8503,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,1,SA Yadav,5,131,193,25,4,4.0,1.0,194.0,225.75,30.0,165.0,2.0
2778,2011,"Wankhede Stadium, Mumbai",Mumbai,1,AT Rayudu,7,148,192,22,7,5.0,2.0,193.0,221.6,30.0,164.0,3.0
8202,2019,Rajiv Gandhi International Stadium,Hyderabad,1,DA Warner,2,116,181,12,7,1.0,1.0,182.0,297.0,20.0,163.0,2.0
4144,2013,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2,DA Miller,3,88,187,14,12,1.0,2.0,188.0,275.0,27.0,162.0,3.0
595,2008,Sawai Mansingh Stadium,Jaipur,2,SR Watson,5,123,187,15,11,2.0,3.0,188.0,248.5,27.0,162.0,4.0
148,2008,Feroz Shah Kotla,Delhi,1,S Dhawan,4,140,185,18,6,3.0,1.0,186.0,231.66666666666666,25.0,162.0,2.0
9427,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,1,F du Plessis,2,126,184,14,9,2.0,0.0,185.0,247.0,24.0,162.0,1.0
4070,2013,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,MS Dhoni,5,123,182,14,9,4.0,1.0,183.0,212.75,24.0,160.0,2.0
1771,2010,M Chinnaswamy Stadium,Bangalore,2,JH Kallis,5,155,182,18,6,3.0,2.0,183.0,233.66666666666666,25.0,159.0,3.0
4330,2013,Sawai Mansingh Stadium,Jaipur,2,AM Rahane,6,166,176,15,3,4.0,2.0,177.0,217.5,19.0,159.0,3.0
1279,2009,SuperSport Park,Centurion,1,SK Raina,3,116,182,17,9,3.0,0.0,183.0,220.66666666666666,27.0,157.0,1.0
9910,2022,"Wankhede Stadium, Mumbai",Mumbai,1,KL Rahul,3,124,180,16,9,2.0,1.0,181.0,242.0,26.0,156.0,2.0
6145,2016,Maharashtra Cricket Association Stadium,Pune,1,SPD Smith,3,106,177,14,8,3.0,0.0,178.0,212.33333333333334,23.0,156.0,1.0
9402,2022,"Brabourne Stadium, Mumbai",Mumbai,2,Shubman Gill,3,126,179,20,4,3.0,0.0,180.0,221.0,25.0,156.0,1.0
3054,2012,Feroz Shah Kotla,Delhi,2,KP Pietersen,3,115,178,10,14,1.0,2.0,179.0,293.0,25.0,155.0,3.0
9039,2021,"Wankhede Stadium, Mumbai",Mumbai,1,F du Plessis,4,125,178,18,7,3.0,1.0,179.0,219.66666666666666,26.0,154.0,2.0
2118,2011,"Dr DY Patil Sports Academy, Mumbai",Mumbai,1,Yuvraj Singh,4,123,175,12,10,2.0,2.0,176.0,236.5,23.0,154.0,3.0
3212,2012,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,M Vijay,4,122,179,22,5,4.0,0.0,180.0,209.5,28.0,153.0,1.0
3249,2012,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,F du Plessis,3,119,173,14,8,3.0,0.0,174.0,212.66666666666666,23.0,152.0,1.0
6592,2017,Feroz Shah Kotla,Delhi,2,RR Pant,4,101,176,13,12,4.0,0.0,177.0,201.25,26.0,152.0,1.0
1563,2010,"Eden Gardens, Kolkata",Kolkata,1,SC Ganguly,3,140,180,22,7,3.0,0.0,181.0,226.66666666666666,30.0,152.0,1.0
9726,2022,Maharashtra Cricket Association Stadium,Pune,1,RD Gaikwad,2,108,172,11,11,2.0,0.0,173.0,226.0,23.0,151.0,1.0
676,2008,"Wankhede Stadium, Mumbai",Mumbai,2,ST Jayasuriya,3,89,182,16,16,1.0,2.0,183.0,271.0,33.0,151.0,3.0
8657,2021,Dubai International Cricket Stadium,Dubai,1,F du Plessis,4,134,172,17,5,4.0,0.0,173.0,205.5,23.0,151.0,1.0
7986,2019,M Chinnaswamy Stadium,Bengaluru,1,V Kohli,5,105,172,15,7,5.0,0.0,173.0,193.0,23.0,151.0,1.0
5719,2015,"Wankhede Stadium, Mumbai",Mumbai,1,LMP Simmons,5,158,173,15,8,5.0,0.0,174.0,204.6,24.0,151.0,1.0
9110,2021,"Wankhede Stadium, Mumbai",Mumbai,2,S Dhawan,2,105,177,23,4,2.0,0.0,178.0,229.5,28.0,151.0,1.0
4765,2014,M Chinnaswamy Stadium,Bangalore,1,Yuvraj Singh,3,98,176,10,16,2.0,1.0,177.0,225.0,27.0,151.0,2.0
6293,2016,Rajiv Gandhi International Stadium,Hyderabad,2,DA Warner,3,111,173,15,9,2.0,1.0,174.0,228.5,25.0,150.0,2.0
7912,2019,"Eden Gardens, Kolkata",Kolkata,1,Shubman Gill,4,120,170,15,6,4.0,0.0,171.0,200.0,22.0,150.0,1.0
7204,2018,"Eden Gardens, Kolkata",Kolkata,1,CA Lynn,4,127,172,19,6,4.0,0.0,173.0,203.75,26.0,148.0,1.0
8529,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2,BA Stokes,3,100,176,23,6,2.0,1.0,177.0,226.0,30.0,148.0,2.0
7117,2017,"Wankhede Stadium, Mumbai",Mumbai,2,RG Sharma,8,127,166,15,5,5.0,3.0,167.0,191.4,21.0,147.0,4.0
7375,2018,M Chinnaswamy Stadium,Bengaluru,2,AB de Villiers,3,98,167,13,10,2.0,1.0,168.0,216.0,24.0,145.0,2.0
1411,2010,"Brabourne Stadium, Mumbai",Mumbai,1,SS Tiwary,4,118,160,9,7,4.0,0.0,161.0,189.5,17.0,145.0,1.0
7498,2018,"Punjab Cricket Association Stadium, Mohali",Chandigarh,1,CH Gayle,2,99,167,8,15,1.0,1.0,168.0,266.0,24.0,145.0,2.0
9116,2021,"Wankhede Stadium, Mumbai",Mumbai,2,SV Samson,4,118,166,15,8,3.0,1.0,167.0,205.33333333333334,24.0,144.0,2.0
2450,2011,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,SK Raina,7,115,164,15,7,7.0,0.0,165.0,180.42857142857142,23.0,143.0,1.0
9483,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2,Abhishek Sharma,4,122,161,16,4,4.0,0.0,162.0,191.5,21.0,142.0,1.0
8539,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2,JC Buttler,3,105,162,12,9,1.0,2.0,163.0,267.0,22.0,142.0,3.0
7593,2018,Rajiv Gandhi International Stadium,Hyderabad,2,KS Williamson,4,121,158,10,7,2.0,2.0,159.0,218.5,18.0,142.0,3.0
8608,2021,"Arun Jaitley Stadium, Delhi",Delhi,1,JC Buttler,2,102,165,14,11,2.0,0.0,166.0,216.0,26.0,141.0,1.0
6132,2016,M Chinnaswamy Stadium,Bangalore,2,V Kohli,3,96,162,13,9,2.0,1.0,163.0,210.0,23.0,141.0,2.0
6495,2017,"Eden Gardens, Kolkata",Kolkata,2,G Gambhir,3,122,164,25,1,1.0,2.0,165.0,286.0,27.0,139.0,3.0
6230,2016,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2,M Vijay,3,123,161,19,4,3.0,0.0,162.0,202.0,24.0,139.0,1.0
3966,2013,M Chinnaswamy Stadium,Bangalore,2,CH Gayle,4,129,160,10,12,2.0,2.0,161.0,224.5,23.0,139.0,3.0
6924,2017,Rajiv Gandhi International Stadium,Hyderabad,1,S Dhawan,4,129,154,15,2,4.0,0.0,155.0,186.25,18.0,138.0,1.0
4028,2013,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,MEK Hussey,3,116,156,17,2,3.0,0.0,157.0,194.66666666666666,20.0,138.0,1.0
8382,2019,"Wankhede Stadium, Mumbai",Mumbai,1,Q de Kock,3,118,154,13,6,2.0,1.0,155.0,213.0,20.0,136.0,2.0
992,2009,New Wanderers Stadium,Johannesburg,2,JH Kallis,4,143,151,12,4,2.0,2.0,152.0,222.5,17.0,136.0,3.0
1618,2010,Feroz Shah Kotla,Delhi,1,DA Warner,5,121,156,14,7,4.0,1.0,157.0,186.25,22.0,136.0,2.0
202,2008,M Chinnaswamy Stadium,Bangalore,1,BB McCullum,1,77,158,10,13,0.0,1.0,159.0,158.0,24.0,136.0,2.0
9044,2021,"Wankhede Stadium, Mumbai",Mumbai,1,KL Rahul,3,110,157,15,7,3.0,0.0,158.0,193.66666666666666,23.0,136.0,1.0
4068,2013,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,MEK Hussey,4,120,159,21,3,4.0,0.0,160.0,189.0,25.0,136.0,1.0
1814,2010,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,M Vijay,3,88,158,13,11,3.0,0.0,159.0,187.33333333333334,25.0,135.0,1.0
5887,2016,"Eden Gardens, Kolkata",Kolkata,1,YK Pathan,5,112,149,11,4,1.0,4.0,150.0,261.0,16.0,135.0,5.0
3036,2012,Feroz Shah Kotla,Delhi,1,V Sehwag,3,92,159,19,7,3.0,0.0,160.0,189.66666666666666,27.0,134.0,1.0
2170,2011,"Eden Gardens, Kolkata",Kolkata,1,JH Kallis,4,133,152,15,4,3.0,1.0,153.0,196.33333333333334,20.0,134.0,2.0
770,2009,Kingsmead,Durban,1,AB de Villiers,2,90,149,9,7,1.0,1.0,150.0,239.0,17.0,134.0,2.0
4040,2013,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,SK Raina,3,91,151,11,7,2.0,1.0,152.0,196.5,19.0,134.0,2.0
1451,2010,"Brabourne Stadium, Mumbai",Mumbai,2,SR Tendulkar,3,123,154,20,1,2.0,1.0,155.0,215.5,22.0,134.0,2.0
5873,2016,"Eden Gardens, Kolkata",Kolkata,1,MK Pandey,4,102,150,10,8,4.0,0.0,151.0,175.5,19.0,133.0,1.0
8455,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,1,EJG Morgan,6,129,151,13,6,5.0,1.0,152.0,176.8,20.0,133.0,2.0
5291,2015,Feroz Shah Kotla,Delhi,1,SS Iyer,4,120,154,13,9,4.0,0.0,155.0,184.0,23.0,133.0,1.0
7108,2017,"Wankhede Stadium, Mumbai",Mumbai,2,KA Pollard,8,110,150,8,10,6.0,2.0,151.0,168.33333333333334,19.0,133.0,3.0
5728,2015,"Wankhede Stadium, Mumbai",Mumbai,1,RG Sharma,5,104,150,15,4,5.0,0.0,151.0,170.8,20.0,132.0,1.0
4471,2013,"Wankhede Stadium, Mumbai",Mumbai,1,DR Smith,4,150,152,16,5,4.0,0.0,153.0,189.5,22.0,132.0,1.0
2407,2011,M Chinnaswamy Stadium,Bangalore,2,CH Gayle,3,83,157,13,13,2.0,1.0,158.0,198.5,27.0,132.0,2.0
386,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,1,SE Marsh,2,104,155,16,8,2.0,0.0,156.0,207.0,25.0,132.0,1.0
7328,2018,Holkar Cricket Stadium,Indore,2,KL Rahul,2,87,150,9,10,1.0,1.0,151.0,237.0,20.0,132.0,2.0
3790,2013,Feroz Shah Kotla,Delhi,1,MEK Hussey,2,111,151,16,4,0.0,2.0,152.0,151.0,21.0,132.0,3.0
7607,2018,Rajiv Gandhi International Stadium,Hyderabad,2,S Dhawan,3,118,156,23,2,2.0,1.0,157.0,215.0,26.0,132.0,2.0
8501,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,1,S Dhawan,2,104,147,12,4,1.0,1.0,148.0,251.0,17.0,132.0,2.0
9244,2022,"Brabourne Stadium, Mumbai",Mumbai,1,DA Warner,2,108,153,18,5,1.0,1.0,154.0,261.0,24.0,131.0,2.0
1629,2010,Feroz Shah Kotla,Delhi,1,PD Collingwood,4,108,148,8,10,3.0,1.0,149.0,184.0,19.0,131.0,2.0
4458,2013,Subrata Roy Sahara Stadium,Pune,2,RV Uthappa,4,110,148,10,8,4.0,0.0,149.0,175.5,19.0,131.0,1.0
8459,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,1,HH Pandya,5,76,152,9,13,2.0,3.0,153.0,190.0,23.0,131.0,4.0
8795,2021,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,SA Yadav,5,110,154,19,5,5.0,0.0,155.0,176.0,25.0,131.0,1.0
6469,2017,"Eden Gardens, Kolkata",Kolkata,1,RV Uthappa,3,97,151,15,6,3.0,0.0,152.0,183.33333333333334,22.0,131.0,1.0
9742,2022,Maharashtra Cricket Association Stadium,Pune,1,Shubman Gill,2,98,147,13,4,1.0,1.0,148.0,245.0,18.0,131.0,2.0
2374,2011,M Chinnaswamy Stadium,Bangalore,1,CH Gayle,2,75,156,14,13,2.0,0.0,157.0,193.5,28.0,130.0,1.0
288,2008,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,MS Dhoni,4,121,145,10,6,3.0,1.0,146.0,185.33333333333334,17.0,130.0,2.0
1603,2010,"Eden Gardens, Kolkata",Kolkata,2,SC Ganguly,4,136,151,17,5,3.0,1.0,152.0,196.33333333333334,23.0,130.0,2.0
8568,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2,Q de Kock,3,99,149,13,7,2.0,1.0,150.0,198.5,21.0,130.0,2.0
6261,2016,Rajiv Gandhi International Stadium,Hyderabad,1,DA Warner,4,101,151,17,6,4.0,0.0,152.0,176.25,24.0,129.0,1.0
2602,2011,"Punjab Cricket Association Stadium, Mohali",Chandigarh,1,SE Marsh,3,105,146,14,4,3.0,0.0,147.0,181.0,19.0,129.0,1.0
8551,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2,KS Williamson,3,111,146,11,7,2.0,1.0,147.0,201.5,19.0,129.0,2.0
7938,2019,"Eden Gardens, Kolkata",Kolkata,2,N Rana,2,95,153,17,8,1.0,1.0,154.0,248.0,26.0,129.0,2.0
1158,2009,St George's Park,Port Elizabeth,1,JP Duminy,3,110,139,7,5,1.0,2.0,140.0,249.0,13.0,128.0,3.0
7135,2018,"Arun Jaitley Stadium, Delhi",Delhi,1,PP Shaw,6,112,149,15,7,6.0,0.0,150.0,167.66666666666666,23.0,128.0,1.0
2652,2011,Rajiv Gandhi International Stadium,Hyderabad,1,JP Duminy,5,110,139,6,6,5.0,0.0,140.0,161.0,13.0,128.0,1.0
5344,2015,M Chinnaswamy Stadium,Bangalore,1,AB de Villiers,3,100,150,17,7,2.0,1.0,151.0,200.0,25.0,127.0,2.0
5281,2015,Feroz Shah Kotla,Delhi,1,JP Duminy,4,116,140,6,9,2.0,2.0,141.0,198.0,16.0,126.0,3.0
8352,2019,Sawai Mansingh Stadium,Jaipur,2,SPD Smith,4,113,139,11,3,3.0,1.0,140.0,176.66666666666666,15.0,126.0,2.0
8679,2021,Dubai International Cricket Stadium,Dubai,1,RD Gaikwad,4,114,145,15,5,3.0,1.0,146.0,183.0,21.0,126.0,2.0
7218,2018,"Eden Gardens, Kolkata",Kolkata,1,KD Karthik,4,106,143,14,4,4.0,0.0,144.0,169.5,19.0,126.0,1.0
5217,2015,"Eden Gardens, Kolkata",Kolkata,1,RG Sharma,2,92,148,18,6,1.0,1.0,149.0,240.0,25.0,125.0,2.0
4248,2013,Rajiv Gandhi International Stadium,Hyderabad,2,GH Vihari,6,144,135,11,0,4.0,2.0,136.0,171.0,12.0,125.0,3.0
7709,2018,"Wankhede Stadium, Mumbai",Mumbai,1,RG Sharma,6,111,144,14,6,6.0,0.0,145.0,162.5,21.0,125.0,1.0
3215,2012,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,MS Dhoni,6,96,137,10,3,3.0,3.0,138.0,169.0,14.0,125.0,4.0
3954,2013,M Chinnaswamy Stadium,Bangalore,1,V Kohli,4,95,148,16,8,3.0,1.0,149.0,179.66666666666666,25.0,125.0,2.0
5350,2015,M Chinnaswamy Stadium,Bangalore,1,CH Gayle,3,83,148,11,14,3.0,0.0,149.0,175.66666666666666,26.0,124.0,1.0
83,2008,"Eden Gardens, Kolkata",Kolkata,1,Salman Butt,3,125,145,22,1,3.0,0.0,146.0,186.66666666666666,24.0,123.0,1.0
4766,2014,M Chinnaswamy Stadium,Bangalore,2,AB de Villiers,2,71,142,7,13,1.0,1.0,143.0,213.0,21.0,123.0,2.0
5419,2015,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,F du Plessis,5,120,131,7,2,4.0,1.0,132.0,161.0,10.0,123.0,2.0
9396,2022,"Brabourne Stadium, Mumbai",Mumbai,2,SS Iyer,2,91,139,12,6,2.0,0.0,140.0,184.5,19.0,122.0,1.0
8581,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2,SA Yadav,3,87,142,17,4,2.0,1.0,143.0,185.5,22.0,122.0,2.0
8318,2019,Sawai Mansingh Stadium,Jaipur,1,SPD Smith,3,116,138,16,1,2.0,1.0,139.0,196.0,18.0,122.0,2.0
4265,2013,Rajiv Gandhi International Stadium,Hyderabad,2,S Dhawan,4,111,140,16,3,3.0,1.0,141.0,177.0,20.0,122.0,2.0
7896,2019,"Eden Gardens, Kolkata",Kolkata,1,CA Lynn,4,95,146,17,8,4.0,0.0,147.0,169.75,26.0,122.0,1.0
8125,2019,"Punjab Cricket Association Stadium, Mohali",Chandigarh,1,CH Gayle,3,104,143,14,8,2.0,1.0,144.0,195.0,23.0,122.0,2.0
3419,2012,Sawai Mansingh Stadium,Jaipur,1,R Dravid,6,128,141,18,2,6.0,0.0,142.0,162.33333333333334,21.0,122.0,1.0
9429,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,1,HH Pandya,2,99,137,12,5,0.0,2.0,138.0,137.0,18.0,121.0,3.0
9574,2022,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,1,Q de Kock,1,71,140,10,10,0.0,1.0,141.0,140.0,21.0,121.0,2.0
7842,2019,"Arun Jaitley Stadium, Delhi",Delhi,2,PP Shaw,4,99,140,16,4,4.0,0.0,141.0,164.75,21.0,121.0,1.0
5418,2015,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,DR Smith,7,142,145,21,4,7.0,0.0,146.0,165.28571428571428,26.0,121.0,1.0
8514,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,1,Shubman Gill,6,138,135,15,0,6.0,0.0,136.0,158.0,16.0,121.0,1.0
8811,2021,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,DA Warner,5,125,136,12,4,5.0,0.0,137.0,161.0,17.0,121.0,1.0
8896,2021,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2,PP Shaw,3,83,142,17,6,3.0,0.0,143.0,169.66666666666666,24.0,120.0,1.0
6816,2017,Maharashtra Cricket Association Stadium,Pune,2,BA Stokes,4,93,136,11,6,3.0,1.0,137.0,167.0,18.0,120.0,2.0
1864,2010,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,SK Raina,4,92,139,14,6,2.0,2.0,140.0,185.0,21.0,120.0,3.0
1385,2010,"Brabourne Stadium, Mumbai",Mumbai,1,AT Rayudu,4,89,137,14,4,3.0,1.0,138.0,166.66666666666666,19.0,120.0,2.0
7627,2018,Sawai Mansingh Stadium,Jaipur,1,JC Buttler,3,99,135,13,3,2.0,1.0,136.0,184.5,17.0,120.0,2.0
7979,2019,M Chinnaswamy Stadium,Bengaluru,1,PA Patel,5,102,138,14,6,5.0,0.0,139.0,158.4,21.0,119.0,1.0
6056,2016,M Chinnaswamy Stadium,Bangalore,1,KL Rahul,3,94,136,12,6,1.0,2.0,137.0,230.0,19.0,119.0,3.0
927,2009,Kingsmead,Durban,2,Yuvraj Singh,4,117,134,9,8,3.0,1.0,135.0,173.0,18.0,118.0,2.0
8769,2021,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,GJ Maxwell,2,96,137,14,6,2.0,0.0,138.0,185.0,21.0,118.0,1.0
8527,2020,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2,AT Rayudu,3,108,131,11,3,2.0,1.0,132.0,185.0,15.0,118.0,2.0
425,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2,SE Marsh,2,100,134,12,5,1.0,1.0,135.0,234.0,18.0,118.0,2.0
6834,2017,Maharashtra Cricket Association Stadium,Pune,2,SPD Smith,4,96,130,9,5,2.0,2.0,131.0,178.0,15.0,117.0,3.0
9990,2022,"Wankhede Stadium, Mumbai",Mumbai,2,DA Warner,4,85,139,17,6,4.0,0.0,140.0,160.25,24.0,117.0,1.0
8916,2021,Sharjah Cricket Stadium,Sharjah,1,D Padikkal,3,110,131,11,5,3.0,0.0,132.0,167.66666666666666,17.0,116.0,1.0
4484,2013,"Wankhede Stadium, Mumbai",Mumbai,1,SR Tendulkar,6,104,140,23,2,6.0,0.0,141.0,157.33333333333334,26.0,116.0,1.0
1777,2010,M Chinnaswamy Stadium,Bangalore,2,MK Pandey,4,104,135,15,5,3.0,1.0,136.0,169.66666666666666,21.0,116.0,2.0
2255,2011,Feroz Shah Kotla,Delhi,1,V Sehwag,4,80,136,15,6,4.0,0.0,137.0,156.0,22.0,116.0,1.0
